date,temp
1901-01,22.4
1901-02,24.14
1901-03,29.07
1901-04,31.91
1901-05,33.41
1901-06,33.18
1901-07,31.21
1901-08,30.39
1901-09,30.47
1901-10,29.97
1901-11,27.31
1901-12,24.49
1902-01,24.93
1902-02,26.58
1902-03,29.77
1902-04,31.78
1902-05,33.73
1902-06,32.91
1902-07,30.92
1902-08,30.73
1902-09,29.8
1902-10,29.12
1902-11,26.31
1902-12,24.04
1903-01,23.44
1903-02,25.03
1903-03,27.83
1903-04,31.39
1903-05,32.91
1903-06,33
1903-07,31.34
1903-08,29.98
1903-09,29.85
1903-10,29.04
1903-11,26.08
1903-12,23.65
1904-01,22.5
1904-02,24.73
1904-03,28.21
1904-04,32.02
1904-05,32.64
1904-06,32.07
1904-07,30.36
1904-08,30.09
1904-09,30.04
1904-10,29.2
1904-11,26.36
1904-12,23.63
1905-01,22
1905-02,22.83
1905-03,26.68
1905-04,30.01
1905-05,33.32
1905-06,33.25
1905-07,31.44
1905-08,30.68
1905-09,30.12
1905-10,30.67
1905-11,27.52
1905-12,23.82
1906-01,22.28
1906-02,23.69
1906-03,27.31
1906-04,31.93
1906-05,34.11
1906-06,32.19
1906-07,31.01
1906-08,30.3
1906-09,29.92
1906-10,29.55
1906-11,27.6
1906-12,24.72
1907-01,24.46
1907-02,24.01
1907-03,27.04
1907-04,31.79
1907-05,32.68
1907-06,31.92
1907-07,31.05
1907-08,29.58
1907-09,30.67
1907-10,29.87
1907-11,27.78
1907-12,24.44
1908-01,23.57
1908-02,25.26
1908-03,28.86
1908-04,32.42
1908-05,33.02
1908-06,33.12
1908-07,30.61
1908-08,29.55
1908-09,29.59
1908-10,29.35
1908-11,26.88
1908-12,23.73
1909-01,22.67
1909-02,24.36
1909-03,29.22
1909-04,30.79
1909-05,33.06
1909-06,31.7
1909-07,29.81
1909-08,29.81
1909-09,30.06
1909-10,29.25
1909-11,27.69
1909-12,23.69
1910-01,23.24
1910-02,25.16
1910-03,28.48
1910-04,31.42
1910-05,33.51
1910-06,31.84
1910-07,30.42
1910-08,29.86
1910-09,29.82
1910-10,28.91
1910-11,26.32
1910-12,23.37
1911-01,23.22
1911-02,24.58
1911-03,27.04
1911-04,31.27
1911-05,33.78
1911-06,32.23
1911-07,31.44
1911-08,30.8
1911-09,30.1
1911-10,29.43
1911-11,25.7
1911-12,23.71
1912-01,23.7
1912-02,26.07
1912-03,28.7
1912-04,31.29
1912-05,33.3
1912-06,33.18
1912-07,31.05
1912-08,30.18
1912-09,30.19
1912-10,29.64
1912-11,26.37
1912-12,23.7
1913-01,23.71
1913-02,24.79
1913-03,27.62
1913-04,32.02
1913-05,33.07
1913-06,32.23
1913-07,30.65
1913-08,30.48
1913-09,30.33
1913-10,29.42
1913-11,26.28
1913-12,23.56
1914-01,24.42
1914-02,24.77
1914-03,28.01
1914-04,30.96
1914-05,33.23
1914-06,32.67
1914-07,30.55
1914-08,29.96
1914-09,30.19
1914-10,28.63
1914-11,26.75
1914-12,23.82
1915-01,22.6
1915-02,23.84
1915-03,27.62
1915-04,31.36
1915-05,34.2
1915-06,33.1
1915-07,31.52
1915-08,30.79
1915-09,30.79
1915-10,30.08
1915-11,27.62
1915-12,23.78
1916-01,24.13
1916-02,25.01
1916-03,30.21
1916-04,31.99
1916-05,33.43
1916-06,31.78
1916-07,30.61
1916-08,29.97
1916-09,29.73
1916-10,28.98
1916-11,26.14
1916-12,23.82
1917-01,23.68
1917-02,25.35
1917-03,27.86
1917-04,30.61
1917-05,31.93
1917-06,31.44
1917-07,30.56
1917-08,29.86
1917-09,29.07
1917-10,27.9
1917-11,25.94
1917-12,23.43
1918-01,22.06
1918-02,25.08
1918-03,27.95
1918-04,30.68
1918-05,33.37
1918-06,31.82
1918-07,31.78
1918-08,30.56
1918-09,30.27
1918-10,30.06
1918-11,26.95
1918-12,23.32
1919-01,23.32
1919-02,24.1
1919-03,28.58
1919-04,31.55
1919-05,33.38
1919-06,32.48
1919-07,30.79
1919-08,30.1
1919-09,29.81
1919-10,29.44
1919-11,26.85
1919-12,23.5
1920-01,22.87
1920-02,24.4
1920-03,28.11
1920-04,30.89
1920-05,32.19
1920-06,32.18
1920-07,31.05
1920-08,30.44
1920-09,30.65
1920-10,30.03
1920-11,27.46
1920-12,24.82
1921-01,23.57
1921-02,24.24
1921-03,30.04
1921-04,32.47
1921-05,35.84
1921-06,32.4
1921-07,31.21
1921-08,29.83
1921-09,29.79
1921-10,28.51
1921-11,26.61
1921-12,24.17
1922-01,22.96
1922-02,25.91
1922-03,29.37
1922-04,31.85
1922-05,34.69
1922-06,32.44
1922-07,30.9
1922-08,30.54
1922-09,29.7
1922-10,28.81
1922-11,26.71
1922-12,23.62
1923-01,23.25
1923-02,24.2
1923-03,28.61
1923-04,32.37
1923-05,33.23
1923-06,33.56
1923-07,30.41
1923-08,29.96
1923-09,30.01
1923-10,28.57
1923-11,26.68
1923-12,24.05
1924-01,22.84
1924-02,25.05
1924-03,29.89
1924-04,32.07
1924-05,32.35
1924-06,33.26
1924-07,31.02
1924-08,30.26
1924-09,29.32
1924-10,29.43
1924-11,26.17
1924-12,23.81
1925-01,22.56
1925-02,24.58
1925-03,29.32
1925-04,32.53
1925-05,32.56
1925-06,31.88
1925-07,30.31
1925-08,30.08
1925-09,30.41
1925-10,29.43
1925-11,26.2
1925-12,24.15
1926-01,23.54
1926-02,25.92
1926-03,27.8
1926-04,30.42
1926-05,32.4
1926-06,33.56
1926-07,31.21
1926-08,30.26
1926-09,29.51
1926-10,29.38
1926-11,26.29
1926-12,24.13
1927-01,23.23
1927-02,24.28
1927-03,28.09
1927-04,31.5
1927-05,32.58
1927-06,32.33
1927-07,30.66
1927-08,29.92
1927-09,30.27
1927-10,29.55
1927-11,26.3
1927-12,24.33
1928-01,23.33
1928-02,25.1
1928-03,28.74
1928-04,31.7
1928-05,34.1
1928-06,32.73
1928-07,30.86
1928-08,30.52
1928-09,30.43
1928-10,29.8
1928-11,26.9
1928-12,23.5
1929-01,23.05
1929-02,24.01
1929-03,29.88
1929-04,31.59
1929-05,33.68
1929-06,32.54
1929-07,30.81
1929-08,30.05
1929-09,30.73
1929-10,28.61
1929-11,27.19
1929-12,23.02
1930-01,22.6
1930-02,23.79
1930-03,28.8
1930-04,30.98
1930-05,33.03
1930-06,32.2
1930-07,30.81
1930-08,30.55
1930-09,30.37
1930-10,29.22
1930-11,26.73
1930-12,24.73
1931-01,24.57
1931-02,24.54
1931-03,29.02
1931-04,32.65
1931-05,33.46
1931-06,33.36
1931-07,30.4
1931-08,30.7
1931-09,30.16
1931-10,29.39
1931-11,26.94
1931-12,24.58
1932-01,24.13
1932-02,24.89
1932-03,28.82
1932-04,32.08
1932-05,32.61
1932-06,32.91
1932-07,30.99
1932-08,30.34
1932-09,30.83
1932-10,29.68
1932-11,27.35
1932-12,24.52
1933-01,22.85
1933-02,25.38
1933-03,28.71
1933-04,30.53
1933-05,32.05
1933-06,32.04
1933-07,30.78
1933-08,29.31
1933-09,29.49
1933-10,28.98
1933-11,27.05
1933-12,24.73
1934-01,22.76
1934-02,26.29
1934-03,28.61
1934-04,31.95
1934-05,33.29
1934-06,32.67
1934-07,31.04
1934-08,30.1
1934-09,30.77
1934-10,29.75
1934-11,26.77
1934-12,24.31
1935-01,22.28
1935-02,25.93
1935-03,29.09
1935-04,30.24
1935-05,34.24
1935-06,33.07
1935-07,30.63
1935-08,29.81
1935-09,29.89
1935-10,29.56
1935-11,26.88
1935-12,24.2
1936-01,23.1
1936-02,25.11
